48060595,0,42.0
48060595,1,46.0
48060595,2,46.0
48060595,3,87.0
48060595,4,13.0
48060596,0,42.0
48060596,1,47.0
48060596,2,45.0
48060596,3,87.0
48060596,4,9.0
48060597,0,41.0
48060597,1,45.0
48060597,2,46.0
48060597,3,86.0
48060597,4,7.0
48060598,0,41.0
48060598,1,43.0
48060598,2,45.0
48060598,3,83.0
48060598,4,4.0
48060599,0,44.0
48060599,1,46.0
48060599,2,45.0
48060599,3,85.0
48060599,4,7.0
48060600,0,42.0
48060600,1,45.0
48060600,2,43.0
48060600,3,83.0
48060600,4,5.0
48060601,0,45.0
48060601,1,46.0
48060601,2,44.0
48060601,3,84.0
48060601,4,7.0
48060602,0,44.0
48060602,1,46.0
48060602,2,44.0
48060602,3,81.0
48060602,4,8.0
48060603,0,42.0
48060603,1,45.0
48060603,2,44.0
48060603,3,82.0
48060603,4,6.0
48060604,0,45.0
48060604,1,47.0
48060604,2,47.0
48060604,3,81.0
48060604,4,10.0
48060605,0,42.0
48060605,1,41.0
48060605,2,46.0
48060605,3,77.0
48060605,4,8.0
48060606,0,40.0
48060606,1,37.0
48060606,2,43.0
48060606,3,75.0
48060606,4,11.0
48060607,0,48.0
48060607,1,39.0
48060607,2,42.0
48060607,3,73.0
48060607,4,16.0
48060610,0,54.0
48060610,1,51.0
48060610,2,47.0
48060610,3,81.0
48060610,4,20.0
48060611,0,51.0
48060611,1,48.0
48060611,2,43.0
48060611,3,78.0
48060611,4,18.0
48060612,0,53.0
48060612,1,48.0
48060612,2,43.0
48060612,3,77.0
48060612,4,21.0
48060613,0,48.0
48060613,1,50.0
48060613,2,40.0
48060613,3,81.0
48060613,4,15.0
48060614,0,58.0
48060614,1,56.0
48060614,2,47.0
48060614,3,87.0
48060614,4,24.0
48060615,0,62.0
48060615,1,62.0
48060615,2,51.0
48060615,3,87.0
48060615,4,29.0
48060616,0,54.0
48060616,1,55.0
48060616,2,38.0
48060616,3,83.0
48060616,4,20.0
48060617,0,55.0
48060617,1,57.0
48060617,2,39.0
48060617,3,84.0
48060617,4,22.0
48060618,0,52.0
48060618,1,57.0
48060618,2,44.0
48060618,3,93.0
48060618,4,30.0
48060619,0,48.0
48060619,1,58.0
48060619,2,40.0
48060619,3,96.0
48060619,4,33.0
48060620,0,58.0
48060620,1,60.0
48060620,2,38.0
48060620,3,83.0
48060620,4,24.0
48060621,0,59.0
48060621,1,60.0
48060621,2,39.0
48060621,3,84.0
48060621,4,24.0
48060623,0,48.0
48060623,1,50.0
48060623,2,42.0
48060623,3,84.0
48060623,4,15.0
48060624,0,47.0
48060624,1,49.0
48060624,2,44.0
48060624,3,85.0
48060624,4,14.0
48060627,0,59.0
48060627,1,51.0
48060627,2,48.0
48060627,3,80.0
48060627,4,31.0
48060628,0,59.0
48060628,1,51.0
48060628,2,48.0
48060628,3,80.0
48060628,4,37.0
48060629,0,60.0
48060629,1,52.0
48060629,2,43.0
48060629,3,76.0
48060629,4,33.0
48060630,0,71.0
48060630,1,60.0
48060630,2,58.0
48060630,3,72.0
48060630,4,47.0
48060631,0,66.0
48060631,1,56.0
48060631,2,58.0
48060631,3,73.0
48060631,4,39.0
48060632,0,61.0
48060632,1,50.0
48060632,2,57.0
48060632,3,70.0
48060632,4,33.0
48060633,0,61.0
48060633,1,50.0
48060633,2,59.0
48060633,3,70.0
48060633,4,34.0
48060636,0,47.0
48060636,1,35.0
48060636,2,46.0
48060636,3,68.0
48060636,4,25.0
48060637,0,49.0
48060637,1,37.0
48060637,2,49.0
48060637,3,72.0
48060637,4,28.0
48060638,0,39.0
48060638,1,28.0
48060638,2,39.0
48060638,3,70.0
48060638,4,20.0
48060639,0,41.0
48060639,1,29.0
48060639,2,40.0
48060639,3,69.0
48060639,4,21.0
48060640,0,42.0
48060640,1,33.0
48060640,2,42.0
48060640,3,75.0
48060640,4,20.0
48060643,0,45.0
48060643,1,45.0
48060643,2,45.0
48060643,3,85.0
48060643,4,23.0
48060644,0,38.0
48060644,1,38.0
48060644,2,40.0
48060644,3,79.0
48060644,4,17.0
48060645,0,35.0
48060645,1,35.0
48060645,2,37.0
48060645,3,76.0
48060645,4,13.0
48060646,0,38.0
48060646,1,36.0
48060646,2,40.0
48060646,3,75.0
48060646,4,13.0
48060647,0,38.0
48060647,1,41.0
48060647,2,44.0
48060647,3,81.0
48060647,4,7.0
48060648,0,39.0
48060648,1,43.0
48060648,2,45.0
48060648,3,86.0
48060648,4,10.0
48060649,0,39.0
48060649,1,44.0
48060649,2,45.0
48060649,3,86.0
48060649,4,13.0
48060650,0,40.0
48060650,1,47.0
48060650,2,46.0
48060650,3,90.0
48060650,4,17.0
48060651,0,41.0
48060651,1,46.0
48060651,2,45.0
48060651,3,87.0
48060651,4,17.0
48060652,0,36.0
48060652,1,44.0
48060652,2,45.0
48060652,3,86.0
48060652,4,18.0
48060654,0,36.0
48060654,1,37.0
48060654,2,41.0
48060654,3,80.0
48060654,4,19.0
48060655,0,35.0
48060655,1,35.0
48060655,2,39.0
48060655,3,78.0
48060655,4,18.0
48060656,0,33.0
48060656,1,34.0
48060656,2,37.0
48060656,3,77.0
48060656,4,16.0
48060660,0,36.0
48060660,1,39.0
48060660,2,37.0
48060660,3,81.0
48060660,4,21.0
48060661,0,38.0
48060661,1,41.0
48060661,2,39.0
48060661,3,83.0
48060661,4,22.0
48060662,0,35.0
48060662,1,41.0
48060662,2,45.0
48060662,3,85.0
48060662,4,23.0
48060663,0,33.0
48060663,1,41.0
48060663,2,46.0
48060663,3,86.0
48060663,4,24.0
48060664,0,34.0
48060664,1,41.0
48060664,2,47.0
48060664,3,86.0
48060664,4,25.0
48060665,0,37.0
48060665,1,45.0
48060665,2,44.0
48060665,3,90.0
48060665,4,27.0
48060666,0,37.0
48060666,1,48.0
48060666,2,42.0
48060666,3,91.0
48060666,4,25.0
48060667,0,39.0
48060667,1,51.0
48060667,2,41.0
48060667,3,95.0
48060667,4,30.0
48060668,0,40.0
48060668,1,54.0
48060668,2,41.0
48060668,3,95.0
48060668,4,30.0
48060669,0,42.0
48060669,1,56.0
48060669,2,40.0
48060669,3,96.0
48060669,4,30.0
48060670,0,43.0
48060670,1,58.0
48060670,2,40.0
48060670,3,97.0
48060670,4,32.0
48060671,0,38.0
48060671,1,55.0
48060671,2,34.0
48060671,3,96.0
48060671,4,30.0
48060672,0,44.0
48060672,1,58.0
48060672,2,34.0
48060672,3,98.0
48060672,4,34.0
48060673,0,39.0
48060673,1,56.0
48060673,2,35.0
48060673,3,97.0
48060673,4,33.0
48060677,0,43.0
48060677,1,60.0
48060677,2,42.0
48060677,3,103.0
48060677,4,41.0
48060678,0,39.0
48060678,1,53.0
48060678,2,42.0
48060678,3,98.0
48060678,4,37.0
48060679,0,37.0
48060679,1,56.0
48060679,2,40.0
48060679,3,99.0
48060679,4,39.0
48060680,0,34.0
48060680,1,50.0
48060680,2,39.0
48060680,3,95.0
48060680,4,35.0
48060681,0,36.0
48060681,1,58.0
48060681,2,40.0
48060681,3,99.0
48060681,4,42.0
48060682,0,42.0
48060682,1,55.0
48060682,2,45.0
48060682,3,101.0
48060682,4,40.0
48060683,0,38.0
48060683,1,59.0
48060683,2,38.0
48060683,3,99.0
48060683,4,41.0
48060684,0,45.0
48060684,1,61.0
48060684,2,45.0
48060684,3,104.0
48060684,4,44.0
48060685,0,44.0
48060685,1,64.0
48060685,2,44.0
48060685,3,104.0
48060685,4,48.0
48060686,0,40.0
48060686,1,63.0
48060686,2,41.0
48060686,3,100.0
48060686,4,45.0
48060687,0,37.0
48060687,1,61.0
48060687,2,38.0
48060687,3,97.0
48060687,4,42.0
48060688,0,40.0
48060688,1,63.0
48060688,2,38.0
48060688,3,98.0
48060688,4,42.0
48060689,0,45.0
48060689,1,65.0
48060689,2,38.0
48060689,3,99.0
48060689,4,45.0
48060693,0,46.0
48060693,1,68.0
48060693,2,35.0
48060693,3,97.0
48060693,4,46.0
48060694,0,48.0
48060694,1,69.0
48060694,2,35.0
48060694,3,97.0
48060694,4,47.0
48060695,0,50.0
48060695,1,71.0
48060695,2,37.0
48060695,3,99.0
48060695,4,49.0
48060696,0,61.0
48060696,1,78.0
48060696,2,46.0
48060696,3,110.0
48060696,4,55.0
48060697,0,55.0
48060697,1,72.0
48060697,2,44.0
48060697,3,108.0
48060697,4,52.0
48060698,0,55.0
48060698,1,70.0
48060698,2,42.0
48060698,3,107.0
48060698,4,49.0
48060699,0,55.0
48060699,1,72.0
48060699,2,45.0
48060699,3,109.0
48060699,4,51.0
48060700,0,55.0
48060700,1,73.0
48060700,2,52.0
48060700,3,112.0
48060700,4,54.0
48060701,0,52.0
48060701,1,69.0
48060701,2,49.0
48060701,3,108.0
48060701,4,51.0
48060702,0,48.0
48060702,1,67.0
48060702,2,45.0
48060702,3,105.0
48060702,4,49.0
48060703,0,50.0
48060703,1,70.0
48060703,2,40.0
48060703,3,103.0
48060703,4,49.0
48060704,0,46.0
48060704,1,68.0
48060704,2,40.0
48060704,3,101.0
48060704,4,47.0
48060705,0,52.0
48060705,1,70.0
48060705,2,49.0
48060705,3,111.0
48060705,4,51.0
48060707,0,50.0
48060707,1,65.0
48060707,2,50.0
48060707,3,109.0
48060707,4,47.0
48060708,0,48.0
48060708,1,63.0
48060708,2,48.0
48060708,3,106.0
48060708,4,46.0
48060710,0,39.0
48060710,1,50.0
48060710,2,47.0
48060710,3,95.0
48060710,4,35.0
48060711,0,63.0
48060711,1,72.0
48060711,2,58.0
48060711,3,118.0
