from_id,to_id,travel_time
48061165,3,64
48061165,4,54
48061166,0,72
48061166,1,34
48061166,2,73
48061166,3,68
48061166,4,50
48061167,0,68
48061167,1,30
48061167,2,71
48061167,3,68
48061167,4,49
48061168,0,67
48061168,1,28
48061168,2,71
48061168,3,70
48061168,4,49
48061169,0,65
48061169,1,27
48061169,2,69
48061169,3,72
48061169,4,47
48061170,0,66
48061170,1,33
48061170,2,69
48061170,3,76
48061170,4,47
48061171,0,70
48061171,1,35
48061171,2,73
48061171,3,76
48061171,4,50
48061172,0,67
48061172,1,30
48061172,2,70
48061172,3,75
48061172,4,48
48061173,0,65
48061173,1,28
48061173,2,67
48061173,3,73
48061173,4,46
48061174,0,70
48061174,1,36
48061174,2,71
48061174,3,56
48061174,4,48
48061175,0,72
48061175,1,39
48061175,2,74
48061175,3,57
48061175,4,50
48061176,0,76
48061176,1,40
48061176,2,79
48061176,3,61
48061176,4,56
48061177,0,79
48061177,1,45
48061177,2,81
48061177,3,65
48061177,4,57
48061178,0,74
48061178,1,39
48061178,2,78
48061178,3,59
48061178,4,55
48061179,0,78
48061179,1,42
48061179,2,83
48061179,3,64
48061179,4,58
48061180,0,76
48061180,1,38
48061180,2,76
48061180,3,75
48061180,4,59
48061181,0,78
48061181,1,40
48061181,2,79
48061181,3,80
48061181,4,60
48061182,0,81
48061182,1,44
48061182,2,82
48061182,3,84
48061182,4,61
48061183,0,77
48061183,1,39
48061183,2,73
48061183,3,75
48061183,4,59
48061184,0,74
48061184,1,36
48061184,2,70
48061184,3,73
48061184,4,55
48061185,0,77
48061185,1,38
48061185,2,73
48061185,3,75
48061185,4,58
48061186,0,81
48061186,1,43
48061186,2,72
48061186,3,76
48061186,4,61
48061187,0,78
48061187,1,40
48061187,2,72
48061187,3,76
48061187,4,58
48061188,0,80
48061188,1,42
48061188,2,72
48061188,3,76
48061188,4,59
48061189,0,76
48061189,1,39
48061189,2,69
48061189,3,73
48061189,4,56
48061190,0,92
48061190,1,58
48061190,2,74
48061190,3,71
48061190,4,68
48061191,0,86
48061191,1,50
48061191,2,76
48061191,3,65
48061191,4,65
48061192,0,81
48061192,1,43
48061192,2,82
48061192,3,63
48061192,4,63
48061193,0,84
48061193,1,48
48061193,2,81
48061193,3,56
48061193,4,66
48061201,0,80
48061201,1,71
48061201,2,49
48061201,3,60
48061201,4,61
48061202,0,79
48061202,1,64
48061202,2,54
48061202,3,49
48061202,4,58
48061203,0,80
48061203,1,69
48061203,2,49
48061203,3,58
48061203,4,60
48061204,0,76
48061204,1,59
48061204,2,55
48061204,3,50
48061204,4,52
48061205,0,78
48061205,1,59
48061205,2,52
48061205,3,55
48061205,4,55
48061206,0,82
48061206,1,64
48061206,2,57
48061206,3,57
48061206,4,60
48061207,0,78
48061207,1,63
48061207,2,53
48061207,3,62
48061207,4,56
48061208,0,79
48061208,1,62
48061208,2,54
48061208,3,59
48061208,4,57
48061209,0,75
48061209,1,59
48061209,2,50
48061209,3,60
48061209,4,53
48061210,0,77
48061210,1,64
48061210,2,53
48061210,3,68
48061210,4,54
48061211,0,74
48061211,1,60
48061211,2,56
48061211,3,54
48061211,4,50
48061212,0,75
48061212,1,57
48061212,2,51
48061212,3,50
48061212,4,52
48061213,0,74
48061213,1,64
48061213,2,54
48061213,3,64
48061213,4,52
48061214,0,80
48061214,1,70
48061214,2,60
48061214,3,70
48061214,4,57
48061215,0,78
48061215,1,69
48061215,2,60
48061215,3,69
48061215,4,55
48061216,0,79
48061216,1,70
48061216,2,61
48061216,3,73
48061216,4,56
48061217,0,79
48061217,1,65
48061217,2,55
48061217,3,69
48061217,4,56
48061218,0,74
48061218,1,61
48061218,2,48
48061218,3,65
48061218,4,53
48061220,0,82
48061220,1,74
48061220,2,54
48061220,3,67
48061220,4,64
48061221,0,82
48061221,1,74
48061221,2,52
48061221,3,68
48061221,4,64
48061222,0,82
48061222,1,75
48061222,2,52
48061222,3,69
48061222,4,64
48061225,0,80
48061225,1,77
48061225,2,49
48061225,3,68
48061225,4,64
48061226,0,88
48061226,1,84
48061226,2,57
48061226,3,71
48061226,4,71
48061228,0,83
48061228,1,79
48061228,2,53
48061228,3,65
48061228,4,65
48061230,0,84
48061230,1,78
48061230,2,57
48061230,3,51
48061230,4,67
48061231,0,93
48061231,1,88
48061231,2,68
48061231,3,58
48061231,4,75
48061232,0,100
48061232,1,96
48061232,2,74
48061232,3,65
48061232,4,83
48061233,0,82
48061233,1,73
48061233,2,54
48061233,3,46
48061233,4,62
48061234,0,88
48061234,1,85
48061234,2,66
48061234,3,52
48061234,4,72
48061235,0,93
48061235,1,89
48061235,2,69
48061235,3,57
48061235,4,76
48061236,0,93
48061236,1,89
48061236,2,70
48061236,3,56
48061236,4,77
48061240,0,106
48061240,1,99
48061240,2,78
48061240,3,84
48061240,4,85
48061241,0,113
48061241,1,107
48061241,2,86
48061241,3,86
48061241,4,92
48061242,0,105
48061242,1,98
48061242,2,78
48061242,3,83
48061242,4,83
48061243,0,98
48061243,1,91
48061243,2,71
48061243,3,79
48061243,4,76
48061244,0,102
48061244,1,94
48061244,2,73
48061244,3,81
48061244,4,81
48061245,0,106
48061245,1,98
48061245,2,77
48061245,3,78
48061245,4,85
48061246,0,98
48061246,1,89
48061246,2,68
48061246,3,76
48061246,4,77
48061247,0,99
48061247,1,92
48061247,2,68
48061247,3,87
48061247,4,79
48061248,0,103
48061248,1,95
48061248,2,73
48061248,3,87
48061248,4,82
48061249,0,94
48061249,1,87
48061249,2,63
48061249,3,83
48061249,4,74
48061250,0,94
48061250,1,86
48061250,2,63
48061250,3,81
48061250,4,73
48061252,0,93
48061252,1,86
48061252,2,64
48061252,3,78
48061252,4,73
48061253,0,93
48061253,1,86
48061253,2,63
48061253,3,79
48061253,4,73
48061256,0,96
48061256,1,88
48061256,2,64
48061256,3,83
48061256,4,76
48061257,0,93
48061257,1,86
48061257,2,63
48061257,3,80
48061257,4,73
48061258,0,95
48061258,1,87
48061258,2,64
48061258,3,83
48061258,4,74
48061259,0,88
48061259,1,80
48061259,2,58
48061259,3,78
48061259,4,68
48061260,0,94
48061260,1,86
48061260,2,63
48061260,3,84
48061260,4,74
48061261,0,93
48061261,1,84
48061261,2,60
48061261,3,84
48061261,4,72
48061262,0,92
48061262,1,84
48061262,2,61
48061262,3,82
48061262,4,72
48061263,0,90
48061263,1,81
48061263,2,58
48061263,3,84
48061263,4,69
48061264,0,95
48061264,1,86
48061264,2,61
48061264,3,86
48061264,4,74
48061265,0,95
48061265,1,86
48061265,2,62
48061265,3,88
48061265,4,74
48061266,0,94
48061266,1,85
48061266,2,61
48061266,3,87
48061266,4,73
48061267,0,93
48061267,1,84
48061267,2,61
48061267,3,87
48061267,4,72
48061268,0,101
48061268,1,92
48061268,2,68
48061268,3,78
48061268,4,81
48061269,0,100
48061269,1,91
48061269,2,67
48061269,3,80
48061269,4,80
48061271,0,96
48061271,1,88
48061271,2,65
48061271,3,73
48061271,4,76
48061272,0,92
48061272,1,87
48061272,2,63
48061272,3,92
48061272,4,74
48061273,0,87
48061273,1,82
48061273,2,59
48061273,3,87
48061273,4,69
48061274,0,84
48061274,1,79
48061274,2,56
48061274,3,84
48061274,4,66
48061275,0,81
48061275,1,77
48061275,2,54
48061275,3,82
48061275,4,64
48061276,0,83
48061276,1,79
48061276,2,55
48061276,3,84
48061276,4,66
48061277,0,76
48061277,1,71
48061277,2,47
48061277,3,77
48061277,4,58
48061278,0,83
48061278,1,78
48061278,2,53
48061278,3,84
48061278,4,66
48061279,0,80
48061279,1,75
48061279,2,50
48061279,3,81
48061279,4,62
48061280,0,79
48061280,1,73
48061280,2,49
48061280,3,78
48061280,4,60
48061281,0,81
48061281,1,76
48061281,2,47
48061281,3,83
48061281,4,63
48061282,0,77
48061282,1,70
48061282,2,44
48061282,3,77
48061282,4,58
48061283,0,73
48061283,1,67
48061283,2,38
48061283,3,75
48061283,4,55
48061284,0,71
48061284,1,66
48061284,2,33
48061284,3,73
48061284,4,53
48061285,0,75
48061285,1,68
48061285,2,36
48061285,3,74
48061285,4,56
48061286,0,76
48061286,1,70
48061286,2,39
48061286,3,79
48061286,4,57
48061287,0,71
48061287,1,65
48061287,2,33
48061287,3,72
48061287,4,53
48061288,0,71
48061288,1,65
48061288,2,34
48061288,3,73
48061288,4,53
48061289,0,64
48061289,1,58
48061289,2,29
48061289,3,67
48061289,4,46
48061290,0,68
48061290,1,61
48061290,2,34
48061290,3,71
48061290,4,49
48061295,0,72
48061295,1,66
48061295,2,42
48061295,3,71
48061295,4,53
48061296,0,74
48061296,1,68
48061296,2,45
48061296,3,74
48061296,4,56
48061297,0,75
48061297,1,68
48061297,2,46
48061297,3,70
48061297,4,56
48061298,0,73
48061298,1,67
48061298,2,45
48061298,3,71
48061298,4,55
48061299,0,74
48061299,1,67
48061299,2,45
48061299,3,66
48061299,4,55
48061300,0,68
48061300,1,60
48061300,2,38
48061300,3,59
48061300,4,48
48061301,0,84
48061301,1,77
48061301,2,55
48061301,3,77
48061301,4,65
48061302,0,78
48061302,1,73
48061302,2,49
48061302,3,76
48061302,4,60
48061303,0,76
48061303,1,70
48061303,2,47
48061303,3,74
48061303,4,58
48061304,0,76
48061304,1,70
48061304,2,47
48061304,3,76
48061304,4,58
48061305,0,76
48061305,1,70
48061305,2,48
48061305,3,73
48061305,4,58
48061306,0,77
48061306,1,71
48061306,2,49
48061306,3,73
48061306,4,59
48061307,0,88
48061307,1,79
48061307,2,56
48061307,3,78
48061307,4,67
48061308,0,84
48061308,1,76
48061308,2,53
48061308,3,72
48061308,4,64
48061309,0,95
48061309,1,88
48061309,2,65
48061309,3,86
48061309,4,76
48061310,0,88
48061310,1,80
48061310,2,56
48061310,3,81
48061310,4,67
48061311,0,82
48061311,1,75
48061311,2,55
48061311,3,72
48061311,4,63
48061312,0,81
48061312,1,74
48061312,2,53
48061312,3,70
48061312,4,62
48061313,0,74
48061313,1,67
48061313,2,46
48061313,3,63
48061313,4,55
48061314,0,65
48061314,1,57
48061314,2,36
48061314,3,55
48061314,4,46
48061315,0,74
48061315,1,67
48061315,2,45
48061315,3,63
48061315,4,54
48061316,0,66
48061316,1,59
48061316,2,37
48061316,3,56
48061316,4,47
48061317,0,71
48061317,1,64
48061317,2,42
48061317,3,61
48061317,4,52
48061318,0,76
48061318,1,69
48061318,2,48
48061318,3,64
48061318,4,57
