48061765,0,64.0
48061765,1,88.0
48061765,2,93.0
48061765,3,
48061765,4,74.0
48061766,0,58.0
48061766,1,81.0
48061766,2,87.0
48061766,3,
48061766,4,67.0
48061767,0,60.0
48061767,1,81.0
48061767,2,88.0
48061767,3,
48061767,4,69.0
48061768,0,62.0
48061768,1,78.0
48061768,2,88.0
48061768,3,
48061768,4,69.0
48061769,0,65.0
48061769,1,77.0
48061769,2,88.0
48061769,3,
48061769,4,71.0
48061770,0,77.0
48061770,1,89.0
48061770,2,102.0
48061770,3,
48061770,4,80.0
48061771,0,76.0
48061771,1,77.0
48061771,2,93.0
48061771,3,
48061771,4,70.0
48061772,0,65.0
48061772,1,75.0
48061772,2,88.0
48061772,3,
48061772,4,66.0
48061773,0,65.0
48061773,1,68.0
48061773,2,83.0
48061773,3,115.0
48061773,4,59.0
48061774,0,61.0
48061774,1,60.0
48061774,2,76.0
48061774,3,108.0
48061774,4,52.0
48061775,0,71.0
48061775,1,67.0
48061775,2,82.0
48061775,3,116.0
48061775,4,60.0
48061776,0,65.0
48061776,1,62.0
48061776,2,77.0
48061776,3,110.0
48061776,4,54.0
48061777,0,62.0
48061777,1,58.0
48061777,2,74.0
48061777,3,106.0
48061777,4,50.0
48061778,0,67.0
48061778,1,63.0
48061778,2,78.0
48061778,3,111.0
48061778,4,55.0
48061779,0,68.0
48061779,1,65.0
48061779,2,80.0
48061779,3,113.0
48061779,4,57.0
48061780,0,109.0
48061780,1,106.0
48061780,2,
48061780,3,
48061780,4,101.0
48061781,0,85.0
48061781,1,93.0
48061781,2,107.0
48061781,3,
48061781,4,84.0
48061785,0,70.0
48061785,1,91.0
48061785,2,95.0
48061785,3,
48061785,4,74.0
48061786,0,66.0
48061786,1,87.0
48061786,2,92.0
48061786,3,
48061786,4,70.0
48061789,0,64.0
48061789,1,84.0
48061789,2,88.0
48061789,3,
48061789,4,67.0
48061790,0,65.0
48061790,1,85.0
48061790,2,88.0
48061790,3,
48061790,4,67.0
48061792,0,66.0
48061792,1,86.0
48061792,2,88.0
48061792,3,
48061792,4,69.0
48061793,0,67.0
48061793,1,87.0
48061793,2,90.0
48061793,3,
48061793,4,70.0
48061795,0,72.0
48061795,1,91.0
48061795,2,93.0
48061795,3,
48061795,4,72.0
48061796,0,71.0
48061796,1,90.0
48061796,2,93.0
48061796,3,
48061796,4,71.0
48061797,0,67.0
48061797,1,86.0
48061797,2,88.0
48061797,3,
48061797,4,67.0
48061800,0,59.0
48061800,1,79.0
48061800,2,81.0
48061800,3,119.0
48061800,4,60.0
48061801,0,54.0
48061801,1,75.0
48061801,2,77.0
48061801,3,115.0
48061801,4,57.0
48061802,0,42.0
48061802,1,63.0
48061802,2,66.0
48061802,3,103.0
48061802,4,45.0
48061803,0,49.0
48061803,1,70.0
48061803,2,73.0
48061803,3,110.0
48061803,4,52.0
48061804,0,51.0
48061804,1,72.0
48061804,2,75.0
48061804,3,112.0
48061804,4,54.0
48061805,0,58.0
48061805,1,79.0
48061805,2,80.0
48061805,3,118.0
48061805,4,60.0
48061806,0,60.0
48061806,1,81.0
48061806,2,82.0
48061806,3,
48061806,4,62.0
48061807,0,63.0
48061807,1,83.0
48061807,2,85.0
48061807,3,
48061807,4,65.0
48061808,0,66.0
48061808,1,85.0
48061808,2,87.0
48061808,3,
48061808,4,67.0
48061809,0,66.0
48061809,1,85.0
48061809,2,87.0
48061809,3,
48061809,4,67.0
48061811,0,51.0
48061811,1,72.0
48061811,2,75.0
48061811,3,112.0
48061811,4,54.0
48061812,0,59.0
48061812,1,81.0
48061812,2,80.0
48061812,3,
48061812,4,61.0
48061814,0,61.0
48061814,1,80.0
48061814,2,82.0
48061814,3,
48061814,4,64.0
48061858,0,80.0
48061858,1,91.0
48061858,2,71.0
48061858,3,
48061858,4,75.0
48061860,0,65.0
48061860,1,74.0
48061860,2,54.0
48061860,3,118.0
48061860,4,59.0
48061864,0,63.0
48061864,1,72.0
48061864,2,69.0
48061864,3,118.0
48061864,4,57.0
48061865,0,69.0
48061865,1,77.0
48061865,2,78.0
48061865,3,
48061865,4,62.0
48061870,0,65.0
48061870,1,75.0
48061870,2,72.0
48061870,3,
48061870,4,60.0
48061871,0,62.0
48061871,1,75.0
48061871,2,72.0
48061871,3,
48061871,4,61.0
48061872,0,62.0
48061872,1,73.0
48061872,2,70.0
48061872,3,
48061872,4,58.0
48061873,0,65.0
48061873,1,79.0
48061873,2,76.0
48061873,3,
48061873,4,64.0
48061874,0,61.0
48061874,1,75.0
48061874,2,70.0
48061874,3,
48061874,4,60.0
48061875,0,59.0
48061875,1,73.0
48061875,2,68.0
48061875,3,119.0
48061875,4,58.0
48061876,0,56.0
48061876,1,71.0
48061876,2,66.0
48061876,3,117.0
48061876,4,56.0
48061877,0,66.0
48061877,1,79.0
48061877,2,76.0
48061877,3,
48061877,4,65.0
48061878,0,63.0
48061878,1,72.0
48061878,2,70.0
48061878,3,
48061878,4,57.0
48061880,0,51.0
